id,target
1136227,0
738556,0
1289784,0
1419520,0
1178091,0
127713,0
1057083,0
208434,0
576163,0
191164,0
773720,0
1079518,0
998228,0
1135694,0
23163,0
960147,0
224030,0
498555,0
1584853,0
1327176,0
57402,0
1572780,0
1590785,0
1113184,0
754100,0
256877,0
1261951,0
715266,0
1159427,0
1052066,0
1164340,0
1117538,0
1455009,0
1358274,0
834124,0
796543,0
1062692,0
1273693,0
813895,0
756137,0
838254,0
297149,0
1217333,0
1059070,0
373376,0
160232,0
483157,0
1534971,0
953973,0
431909,0
221113,0
605594,0
1134916,0
749599,0
39976,0
132726,0
632661,0
1362584,0
1132790,0
850924,0
237563,0
375706,0
809101,0
845098,0
1486812,0
731370,0
748517,0
863017,0
552607,0
1207049,0
1018615,0
262225,0
181704,0
350971,0
1338208,0
417691,0
613453,0
910007,0
822209,0
1037599,0
63141,0
459129,0
118259,0
1270961,0
615766,0
650009,0
961097,0
744560,0
68000,0
120738,0
1200773,0
1189004,0
434320,0
1454351,0
803697,0
176808,0
214318,0
1297280,0
646703,0
1227376,0
1420896,0
1396523,0
1106707,0
1589165,0
676173,0
1038496,0
808078,0
123505,0
918936,0
447031,0
1178279,0
103999,0
311287,0
1416595,0
108288,0
1500083,0
192096,0
863344,0
717608,0
865326,0
1274829,0
1447369,0
734973,0
349968,0
950232,0
184216,0
1128161,0
1091073,0
93658,0
203636,0
336114,0
1113216,0
567697,0
105170,0
1522376,0
143015,0
1283494,0
836726,0
523750,0
850080,0
687617,0
387105,0
1167255,0
343474,0
85489,0
218286,0
192238,0
733767,0
475022,0
826883,0
170687,0
1019567,0
1241137,0
105641,0
553401,0
404166,0
255038,0
506325,0
751009,0
583274,0
1098094,0
566183,0
575241,0
1544586,0
396364,0
1461438,0
690814,0
986500,0
1474711,0
410835,0
484735,0
112303,0
595837,0
129075,0
768241,0
582749,0
168077,0
273636,0
1202313,0
1183271,0
1404175,0
1156478,0
1373034,0
954364,0
573380,0
13727,0
1511034,0
63901,0
1294405,0
918445,0
846938,0
52439,0
1044879,0
514257,0
735945,0
54318,0
1092834,0
1064294,0
341097,0
1505284,0
1176605,0
1294912,0
1437421,0
1050311,0
263525,0
906489,0
404783,0
1363814,0
1509173,0
1324503,0
728477,0
407684,0
1293707,0
407344,0
1568855,0
837522,0
1169669,0
276854,0
195120,0
1561974,0
227109,0
1017955,0
1224574,0
476559,0
1404036,0
1076060,0
606675,0
635569,0
56340,0
1114178,0
835017,0
1570512,0
1534404,0
892060,0
1020580,0
606820,0
713557,0
1176964,0
274181,0
851098,0
675402,0
678880,0
929397,0
23738,0
1257953,0
824919,0
604798,0
1293362,0
191680,0
196051,0
1524457,0
1281993,0
1269273,0
956833,0
362907,0
335390,0
126541,0
843648,0
1574452,0
323045,0
49464,0
1477315,0
1515194,0
725219,0
817363,0
1171250,0
1453789,0
101811,0
481623,0
790126,0
303933,0
594608,0
1083667,0
9212,0
1045129,0
244172,0
1357803,0
829751,0
486499,0
334177,0
190555,0
535185,0
208573,0
1337374,0
835132,0
621478,0
1595247,0
42333,0
321972,0
1101057,0
706617,0
867173,0
412322,0
1037032,0
152280,0
523401,0
364044,0
50345,0
1036875,0
1311983,0
753565,0
960590,0
43335,0
30779,0
643253,0
1586669,0
1011139,0
329905,0
926864,0
199712,0
431072,0
1437033,0
233170,0
1301551,0
1528867,0
1286170,0
921457,0
189691,0
1007614,0
669490,0
